Username,Problems_Solved,World_Rank,Solved_Classical_Count,Solved_Challenge_Count,Solved_Tutorial_Count,Solved_Partial_Count,Solved_Other_Count,Language,Level,Cluster
delete_,12,16582.0,16,0,0,0,0,3,beginner,1
delusional84,7,66594.0,8,0,0,0,0,1,beginner,1
demons_,7,66594.0,7,0,0,0,0,1,beginner,1
denilb,33,6484.0,38,0,0,0,0,1,intermediate,1
derryl0925,0,127640.0,2,0,0,0,0,1,beginner,0
dert,13,43315.0,14,0,0,0,0,1,beginner,1
devanshnair_05,1,127640.0,1,0,0,0,0,1,beginner,0
dhanush_1122,15,127640.0,16,0,0,0,0,1,beginner,0
dharavivek,42,5350.0,62,0,0,0,0,1,intermediate,1
dimanoti,8,18827.0,11,0,0,0,0,3,beginner,1
dinesha0708,3,127640.0,5,0,0,0,0,1,beginner,0
dineshkumar25,33,27846.0,44,0,0,0,0,1,beginner,1
dingwenzheng,21,23106.0,22,0,0,0,0,1,beginner,1
dirty_code,14,43315.0,15,0,0,0,0,1,beginner,1
diyah999,0,127640.0,2,0,0,0,0,1,beginner,0
doanminh2003,1,84359.0,1,0,0,0,0,1,beginner,0
dongpro3lol,1,127640.0,2,0,0,0,0,1,beginner,0
drts123,2,84359.0,4,0,0,0,0,1,beginner,0
dsl_888,12,48650.0,12,0,0,0,0,2,beginner,1
dumdum_26127,6,84359.0,6,0,0,0,0,2,beginner,0
dungnq28,5,66594.0,5,0,0,0,0,1,beginner,1
duong_khai1104,3,84359.0,5,0,0,0,0,1,beginner,0
dvsteja_teja,5,127640.0,9,0,0,0,0,1,beginner,0
dx3906_ourstar,37,19794.0,40,0,0,0,0,1,beginner,1
dxworlds,6,84359.0,7,0,0,0,0,1,beginner,0
dylizhaoyuan,18,16582.0,18,0,0,0,0,1,beginner,1
eagleeyeraider,30,16582.0,32,0,0,0,0,1,beginner,1
eason_ac,59,5637.0,69,0,0,0,0,1,intermediate,1
edsel_2007,20,21866.0,20,0,0,0,0,1,beginner,1
emmoy,34,6885.0,37,0,0,0,0,3,intermediate,1
eniustj2gs,20,2109.0,339,0,0,0,0,2,intermediate,1
enosh12345,8,66594.0,8,0,0,0,0,1,beginner,1
eraserhd,37,9344.0,44,0,0,0,0,1,intermediate,1
ernet4awdb8zq0,12,6251.0,324,0,0,0,0,2,intermediate,1
eruditee,3,43315.0,4,0,0,0,0,1,beginner,1
eslam_taha74,5,43315.0,11,0,0,0,0,1,beginner,1
et723gejrntx,70,543.0,457,0,0,0,0,2,advanced,1
ethan_8,46,12854.0,46,0,0,0,0,1,beginner,1
euralsynapse67,54,775.0,435,0,0,0,0,2,advanced,1
extremejojo,0,127640.0,2,0,0,0,0,2,beginner,0
eyadh111,10,43315.0,14,0,0,0,0,1,beginner,1
farinsyed5,0,127640.0,1,0,0,0,0,1,beginner,0
fbw2010,8,39000.0,10,0,0,0,0,1,beginner,1
ferzen_289_a,11,12087.0,11,0,0,0,0,1,beginner,1
ffuentesq,78,17991.0,102,0,0,0,0,1,intermediate,1
fire_wolf,8,66594.0,10,0,0,0,0,1,beginner,1
fu_hua2008,5,48650.0,6,0,0,0,0,1,beginner,1
fuad_88,1,127640.0,2,0,0,0,0,1,beginner,0
g_sravani,2,127640.0,2,0,0,0,0,1,beginner,0
gabee,23,32586.0,25,0,0,0,0,1,beginner,1
gabriel986,1,127640.0,1,0,0,0,0,1,beginner,0
galeeb_1,18,32586.0,22,0,0,0,0,1,beginner,1
gamax01,4,127640.0,5,0,0,0,0,1,beginner,0
ganaa0124,54,12438.0,73,0,0,0,0,7,intermediate,1
garvgupta_2005,2,127640.0,2,0,0,0,0,1,beginner,0
garvit_goyal,12,43315.0,14,0,0,0,0,2,beginner,1
garvitjain_27,1,127640.0,1,0,0,0,0,1,beginner,0
garvitsoni2004,23,10701.0,27,0,0,0,0,1,beginner,1
gaurav_agarval,1053,39.0,1055,0,0,0,0,1,advanced,2
gauriphatate,298,1252.0,1108,0,0,0,0,2,advanced,2
geburah,26,15906.0,26,0,0,0,0,1,beginner,1
geetha_1116,0,127640.0,2,0,0,0,0,1,beginner,0
ggc114514,5,55833.0,6,0,0,0,0,2,beginner,1
ggh,15,3665.0,18,0,0,0,0,1,intermediate,1
giaminhha,6,55833.0,7,0,0,0,0,1,beginner,1
godsent,8,84359.0,9,0,0,0,0,1,beginner,0
goelshivam15,13,66594.0,15,0,0,0,0,1,beginner,1
gongx,8,35454.0,8,0,0,0,0,1,beginner,1
goodans,1,84359.0,16,0,0,0,0,1,beginner,0
gopy2745,3,127640.0,9,0,0,0,0,2,beginner,0
gr_23241a66a0,7,43315.0,11,0,0,0,0,3,beginner,1
greggy55,6,48650.0,9,0,0,0,0,1,beginner,1
grinnfi,0,127640.0,1,0,0,0,0,1,beginner,0
guanyu,0,127640.0,1732,0,0,0,0,1,beginner,2
guoyitao,16,17251.0,18,0,0,0,0,1,beginner,1
guvvaramasri12,12,84359.0,22,0,0,0,0,1,beginner,0
gwbailang,4,55833.0,5,0,0,0,0,1,beginner,1
gyf_qwq,5,55833.0,5,0,0,0,0,1,beginner,1
haling,0,127640.0,1,0,0,0,0,1,beginner,0
halogenbr,7,43315.0,9,0,0,0,0,1,beginner,1
hamed_,41,8464.0,42,0,0,0,0,3,intermediate,1
hard2kill,434,36.0,517,0,0,0,0,3,advanced,1
harikabezawada,12,66594.0,31,0,0,0,0,1,beginner,1
harini_reddy5,2,127640.0,4,0,0,0,0,1,beginner,0
harsha21,3,127640.0,5,0,0,0,0,1,beginner,0
harsha_2311,6,127640.0,8,0,0,0,0,1,beginner,0
harshini860,9,55833.0,10,0,0,0,0,1,beginner,1
harshith_2409,5,84359.0,7,0,0,0,0,1,beginner,0
harshitha_0316,11,66594.0,15,0,0,0,0,1,beginner,1
